code,section,open,high,low,volume,market_cap,foreigner_rate,inst_buy,KOSPI,KOSDAQ,NASDAQ,exchange_rate,HangSeng
A006140,KOSDAQ,0.993848973602941,0.996749140089915,0.996003286662578,0.224454369987475,0.864292755380748,0.444775791434484,0.0522388220453759,0.738957979209087,0.5930551989873,0.498019830685993,-0.193572512607342,0.0954386663489856
A006580,KOSDAQ,0.996882655023307,0.997712509283431,0.998327397246172,0.132621713207883,0.999999999923082,0.710486077364149,-0.0822855180424141,0.385410339542418,0.470525980744583,0.62160405291502,0.306309942348599,0.282754323581961
A006620,KOSDAQ,0.990338889185411,0.993426189108584,0.995418719652577,0.277054753566063,0.55387108468433,-0.398684604853474,-0.152311333763539,0.623996179943694,0.775877716678086,0.232300286590317,-0.718149570621703,0.154611200013266
A006730,KOSDAQ,0.996569957835839,0.998513334658024,0.998136904255909,-0.135536205589744,0.416968555889541,-0.0577931317367901,0.0940234532499481,-0.3240584248506,-0.274955801376531,-0.607314203454732,-0.243430157220431,-0.229745679001977
A006910,KOSDAQ,0.9934728648244,0.995224954874545,0.997317050183636,0.34587311694047,0.966538020318769,-0.276434507216468,-0.0217961916153002,-0.0970311884513326,0.0293696562581894,-0.250325709770874,0.0788612725489004,-0.197858902318578
A006920,KOSDAQ,0.985939334922432,0.991073352662873,0.993037834419867,0.274931927002685,0.999999999681129,-0.240930809763768,-7.00288227645968e-05,0.426271511764406,0.446736560644725,0.114259061276739,-0.321696831784878,0.257867676268171
A007330,KOSDAQ,0.996446438972566,0.997404494745354,0.997600200748825,0.419332100941506,0.999999999981125,0.335405439841483,-0.00361495121022566,0.79770453328369,0.750249890026524,0.721629518892613,0.18975086319656,0.243182433511036
A007370,KOSDAQ,0.986288584387647,0.991083692998041,0.992259944354936,0.340770275881843,1.0,-0.385416604949534,-0.129220329758271,0.416986460501086,0.621474689049928,0.408162481428212,0.0840309432946131,0.0176277127710532
A007390,KOSDAQ,0.994470141703251,0.996522342461864,0.997329937660859,0.261441734078303,0.993726079020157,0.3858664230678,0.0489190075758035,0.512902567024574,0.666505409703632,0.406456198906674,-0.0780389730087089,0.322615003240567
A007530,KOSDAQ,0.9943058970864,0.996279590938445,0.996623154163621,0.233073197977634,0.533027610896362,0.195356305830087,0.0287335642917723,0.393613894144032,0.315769000604622,0.046963596368705,-0.112838171452458,-0.0418573860755812
A007680,KOSDAQ,0.97719054768994,0.985326129299066,0.992082524859201,0.100982148297091,0.974111024560453,0.726900836201608,-0.0445125347431115,-0.21512273952791,-0.174171160511594,-0.39574959134085,-0.156342427995237,0.146779337885518
A007720,KOSDAQ,0.996089956761412,0.997980807378045,0.998244649062104,0.13761590130459,0.999999999997994,0.270482054796869,-0.0213553462613519,0.264046479117192,0.349730236310456,0.0457774584738354,-0.120087822724926,0.342586917274992
A007770,KOSDAQ,0.986332274621663,0.991840669504963,0.992711461034846,0.204082320630053,0.99999999960405,-0.10803033834795,0.0294808989970402,0.314345105745571,0.308789864358633,0.0930799034403261,0.201830521373003,0.0690737528993156
A007820,KOSDAQ,0.996387406936361,0.998577331192913,0.998292122626598,0.2039992317933,0.943577639283281,-0.220840788876401,0.145595370633025,0.234160016202282,0.170271394477661,0.018804643756794,-0.0637966438625747,0.292289424013351
A008290,KOSDAQ,0.994513162431257,0.997220881301456,0.996697511700326,0.045137422218995,0.994309236966272,-0.471672549024974,0.0141821033589364,-0.271007617643115,-0.0202529463725029,-0.333485800632683,0.217135429708741,-0.0870638900912268
A008370,KOSDAQ,0.991297205357305,0.993474732707185,0.994557959805061,0.290433475622388,1.0,0.261159700403287,-0.0185333636287425,0.68136225196178,0.635839491471268,0.494064064127895,0.144386033465518,0.0614401322522096
A008470,KOSDAQ,0.987330107123796,0.990159264297599,0.99350820375031,0.158228609109685,0.998613067988035,0.45938850539836,0.0324548626247098,0.518423643540019,0.390598018878762,0.235848918919779,-0.0347566598551929,0.0868983762062977
A008830,KOSDAQ,0.995018933696985,0.997446285919986,0.996749060742431,0.293548091469392,0.999999999635645,0.784373391684981,-0.104071131638125,0.697200714215856,0.647833013760252,0.588999480954589,0.0856192054286242,0.15763198683284
A009300,KOSDAQ,0.986505990511044,0.991741320227047,0.992354294981161,0.380125095444391,0.999999999932822,-0.462729551792858,0.025685775324911,0.151987866107917,0.328741678276245,0.0517034367836148,0.0772580499687749,0.101411167441084
A009520,KOSDAQ,0.994746030549018,0.997028968732163,0.997191316986155,0.373448916534922,0.999999999994094,0.091357637214501,0.0128669757743642,0.531302244378686,0.510134074047963,0.590625734905517,-0.0092269486241274,0.221324299320341
A009620,KOSDAQ,0.989932229760247,0.992998036387852,0.995015965350228,0.0339953608527464,0.0191158741007163,-0.638433112205847,0.0276341329158379,-0.0244447535080339,-0.0863289725666236,-0.342563066791083,-0.144932496551713,-0.181232475031328
A009730,KOSDAQ,0.994166438176752,0.996521824958186,0.996896403732732,-0.296714464683941,0.739828520291787,-0.198525337811918,0.053078254295633,-0.305396173178384,-0.2548852730836,-0.489200117548718,-0.196651710517397,-0.0722065951430682
A009780,KOSDAQ,0.994485558646895,0.995739602812748,0.996825878538145,0.102770357465001,0.779196659352604,0.325253723972812,-0.00448090452365844,0.284881014229716,0.388806048822732,0.276007323895122,0.270557868550536,0.185967258665007
A010170,KOSDAQ,0.997979329887435,0.998985122560532,0.999052233122615,0.202584128528066,0.97514347266289,0.485856671433208,-0.0276892358473867,0.436932088062791,0.569886703605789,0.439393159588934,-0.0263426304978335,0.401163192808271
A010240,KOSDAQ,0.995972994018839,0.997885502816555,0.997591972560673,0.327928637261373,0.950545711236809,-0.0488229621842595,-0.0374935411427506,0.781069072525314,0.740749770039082,0.727046968036949,0.0776734625773792,0.29769879084424
A010280,KOSDAQ,0.98999007624452,0.993141116413787,0.994544711867599,0.190386635099773,0.999362586409203,-0.0281062855360069,-0.116136659309298,-0.055825396529942,-0.220243739450257,-0.0667292661334546,0.246098975945317,-0.166134017469371
A010470,KOSDAQ,0.990840107659766,0.994666374303699,0.994181963054334,0.28442620504877,0.995471064461716,0.0158159130521051,0.0623072122729029,0.138401827414752,0.259616077963189,-0.0292831068940703,0.217354530858046,-0.060454546026158
A011040,KOSDAQ,0.989644692180036,0.992925797408068,0.993876503150288,0.139922994574863,0.958599366384943,0.0559390839234135,-0.000719120024302725,0.174640460844962,0.310430394283461,-0.0278452049811724,-0.48359437962859,0.153781704407943
A011080,KOSDAQ,0.993295573711547,0.995541649487325,0.995900684833987,0.240875705730479,0.963615635000725,-0.223586647589934,-0.0569042162543037,0.030815348934205,0.0428136776366345,-0.285312783692878,-0.204857873721114,-0.248397748224538
A011320,KOSDAQ,0.99439749267178,0.996673137600626,0.996688823463644,0.258987917349164,0.999999999968206,-0.578864069259118,0.0151156005154844,0.524598409258945,0.536814010196975,0.619723990472141,-0.141298209747753,0.267213931195206
A011370,KOSDAQ,0.995244361345705,0.9975833994157,0.997717069117839,0.0309762012098196,0.999999999984249,0.187254016260221,0.0727206635259233,0.0451869704923276,-0.0151126168483324,-0.401751343855202,-0.486882121983753,0.0380746561360863
A011560,KOSDAQ,0.995900334132406,0.997841828041394,0.997973704352379,0.282670103159517,0.999999999944241,0.21060356594186,-0.0597511368474661,0.227699334033072,0.263605474633019,-0.0225891956692484,-0.136614859098909,0.320591004248798
A012340,KOSDAQ,0.993233779716233,0.99531785758123,0.996252130916395,0.109566984934717,0.519154033739915,-0.25748016040773,-0.0355326167513038,0.200233588887909,0.188794162224758,-0.193064559069973,-0.26990041414093,-0.145361427343338
A012620,KOSDAQ,0.991589549658082,0.994158122855078,0.995481317207107,0.237346148885986,1.0,0.459683721890517,0.0618753066022941,0.298163121285477,0.393717843990418,0.0165506298658966,-0.0123106262230291,0.0271342491210622
A012700,KOSDAQ,0.998311343397312,0.999064426325709,0.999090115159077,-0.0695681956920983,0.999949925751352,-0.416929593975385,0.0801330571960489,-0.236624887408659,-0.255895885730178,-0.377904987670873,-0.248331797180473,-0.185125770008755
A012790,KOSDAQ,0.994600945594173,0.997471844722614,0.996254193596603,0.458384721885909,0.980453756382437,-0.300260691883878,-0.0124529297057851,0.399825103598239,0.530430928116985,0.430540048582483,0.0741523861335358,0.018372040264744
A012860,KOSDAQ,0.997361419861116,0.998251302459779,0.998636457092714,-0.0834572358343809,0.743884969720351,0.764417617915014,-0.0153936065696242,-0.139741480973252,-0.330815783551574,-0.426511432845867,-0.589882051438535,-0.186360423222894
A013030,KOSDAQ,0.996438027355503,0.998428103873414,0.99824525060674,-0.303583398002492,0.999999999994836,0.218501918633086,-0.0671089994972749,-0.327760376225878,-0.362777992647723,-0.637063646422186,-0.512672657554638,-0.121181459868593
A013120,KOSDAQ,0.99543531339728,0.997757862307626,0.996987428634311,0.0914338263419365,0.999999999993906,0.296567800236978,-0.101475139661158,0.622993161653781,0.642804545260044,0.383272753020529,0.169033945302266,0.22295896268714
A013310,KOSDAQ,0.996512066032876,0.99723994717329,0.998370525646812,-0.060357991242355,-0.0756704198761027,0.537741282223345,0.00409073001342075,-0.132704836818953,-0.243562625124185,-0.440034443064886,-0.109538800797219,-0.281826540246208
A013720,KOSDAQ,0.997668376989734,0.99910334147112,0.998716752427062,0.0626753711075396,0.99852302562092,0.256295261842871,0.00943051735851867,0.812040400645607,0.693026936238006,0.644386873349282,-0.0237753701487311,0.12460700314776
A013810,KOSDAQ,0.9941826450649,0.994923476517035,0.996776679096349,0.162922818560207,0.995687724645774,-0.310252285471563,0.000362911204810696,0.707043742043099,0.673156029640558,0.58555044490805,-0.112889293814266,0.0803685642875893
A013990,KOSDAQ,0.996220747594682,0.997840756858118,0.998047771530399,0.246994115955627,0.994276869351634,-0.665138857672106,-0.00639349888046357,-0.285303846694039,-0.215166559308661,-0.52970563518003,-0.0663437309670196,-0.220615861960502
A014100,KOSDAQ,0.996434799018634,0.998007442298879,0.998150697525068,0.286295144475935,0.989694941784034,-0.15354993351991,0.0353467927388899,-0.408281044700901,-0.17856540512517,-0.548241017411215,0.0880405163915278,-0.14623160799973
A014190,KOSDAQ,0.991264115971911,0.995650399937625,0.995704528802895,0.250140580143418,0.935701491269594,-0.389289242704098,0.00451562169100648,0.443672752991757,0.453788689296277,0.174297519257062,-0.219654045731751,0.0847212375441851
A014200,KOSDAQ,0.995995411919425,0.997630347804046,0.997755493302216,0.178151915923808,0.992615244557972,-0.295357268516617,0.00728067495553725,0.124287069934045,0.0740292650402226,-0.0684232553699606,0.139949516176213,-0.0166622228858798
A014470,KOSDAQ,0.9949970048862,0.996835913864959,0.997633287723178,0.184127872859286,0.856722678851294,0.618679527426094,0.0976393862336424,-0.350094646248992,-0.399832499569639,-0.556303111936927,-0.357251056299181,-0.251171966566896
